provider_id,parent_account_id,provider_sales_id,vendor_name,country_code,business_segment_v2,provider_name,city_name,account_management_segment,gmv_eur,orders_n,provider_cm_l2_pct_gmv,country_cm_l2_pct_gmv,cm_l2_pp_above_country
118183,84990,50005878714,KETCHUP ROOM Kyiv,ua,SMB (AM Segment),Кетчупрум Сергія Данченка,Kyiv,Missing AM Segment Trait,1955.698341369629,56.0,8.605998537832729,2.3596736654725854,6.246324872360144
143682,106726,100005037990,Tbilisuri ,ua,SMB (AM Segment),TBILISURI Шаурма/TBILISURI Shaurma,Kyiv,Missing AM Segment Trait,1954.7262268066406,128.0,16.830395523082803,2.3596736654725854,14.470721857610219
76705,51271,51862690106,Sushi bar kalifornia,ua,SMB (AM Segment),Sushi bar Kalifornia вулиця Трамвайна,Vinnytsia,Missing AM Segment Trait,1951.710433959961,100.0,20.807798140051354,2.3596736654725854,18.44812447457877
19047,13841,7694791,Hidden,ua,SMB (AM Segment),Hidden,Kyiv,Bronze (AM Segment),1947.6128997802734,66.0,12.126749886764411,2.3596736654725854,9.767076221291827
185673,129173,50006708327,Beer Shop,ua,SMB (AM Segment),Beer Shop,Vinnytsia,Missing AM Segment Trait,1934.72998046875,180.0,2.855188954661301,2.3596736654725854,0.4955152891887158
74455,49851,12317938,Shaurma M&L,ua,SMB (AM Segment),Shaurma M&L,Odesa,Bronze (AM Segment),1929.5458679199219,162.0,13.246943562042501,2.3596736654725854,10.887269896569915
192417,60731,100005086892,Піца 54,ua,SMB (AM Segment),La Pasta Italiano,Kyiv,Missing AM Segment Trait,1926.5165405273438,124.0,6.144247015045314,2.3596736654725854,3.784573349572729
83534,56275,100005003121,Кримські чебуреки ,ua,SMB (AM Segment),Кримські чебуреки,Vinnytsia,Missing AM Segment Trait,1920.7751007080078,140.0,16.719310257409845,2.3596736654725854,14.35963659193726
96505,66576,61861910103,LOKSHA.IF,ua,SMB (AM Segment),LOKSHA.IF,Ivano-Frankivsk,Missing AM Segment Trait,1914.8244018554688,120.0,9.098779583767724,2.3596736654725854,6.739105918295139
95335,65625,51868240042,Fami.burger,ua,SMB (AM Segment),Fami.burger,Lviv,Missing AM Segment Trait,1864.3629608154297,108.0,8.644170751011695,2.3596736654725854,6.284497085539109
98380,68082,61862110103,HALA,ua,SMB (AM Segment),HALA,Ivano-Frankivsk,Missing AM Segment Trait,1862.8245697021484,131.0,6.2598529517082,2.3596736654725854,3.9001792862356144
17711,12807,7698178,Noodle Doodle ,ua,SMB (AM Segment),Noodle Doodle Гната Хоткевича,Kyiv,Platinum (AM Segment),1856.109115600586,99.0,5.668498220170182,2.3596736654725854,3.3088245546975967
8631,6209,7693544,Harms,ua,SMB (AM Segment),"Citycafe ""Harms""",Kyiv,Silver (AM Segment),1838.239273071289,72.0,9.379529363364908,2.3596736654725854,7.019855697892322
114424,81876,50005536848,THE PUZO PUB Kyiv,ua,SMB (AM Segment),The Puzo Pub,Kyiv,Missing AM Segment Trait,1825.982063293457,84.0,14.982693033171676,2.3596736654725854,12.62301936769909
8293,5995,7694805,Dos Amigos,ua,SMB (AM Segment),Dos Amigos Саксаганського,Kyiv,Silver (AM Segment),1820.0409698486328,90.0,16.329374884539888,2.3596736654725854,13.969701219067304
130624,95686,100005031142,Адмірал,ua,SMB (AM Segment),Адмірал,Dnipro,Missing AM Segment Trait,1816.491683959961,98.0,16.51292050284026,2.3596736654725854,14.153246837367675
68462,45970,77062630007,Art Sushi,ua,SMB (AM Segment),Art sushi Героїв Полку Азов,Kyiv,Bronze (AM Segment),1816.113998413086,41.0,11.66023272376813,2.3596736654725854,9.300559058295544
132222,97031,50006171823,STRT - AVENUE Chernivtsi,ua,SMB (AM Segment),STRT - Avenue,Chernivtsi,Missing AM Segment Trait,1806.6576614379883,88.0,5.3973211741208535,2.3596736654725854,3.037647508648268
135493,99744,50006194763,ПІЦЕРІЯ НА ЗАНЬКОВЕЦЬКОЇ Chernivtsi,ua,SMB (AM Segment),Піцерія на Заньковецької,Chernivtsi,Missing AM Segment Trait,1806.0115127563477,126.0,6.640627764040519,2.3596736654725854,4.280954098567934
134861,99231,50005487100,GRANDE PIZZA KYIV Kyiv,ua,SMB (AM Segment),Grande Pizza,Kyiv,Missing AM Segment Trait,1803.976203918457,113.0,11.174437383622973,2.3596736654725854,8.814763718150388
155938,116330,100005044434,Топ Шаурма,ua,SMB (AM Segment),Top Shaurma,Dnipro,Missing AM Segment Trait,1795.381118774414,157.0,4.553856907080281,2.3596736654725854,2.1941832416076954
11214,8103,7695337,Beijing Style,ua,SMB (AM Segment),Beijing Style,Kyiv,Bronze (AM Segment),1779.4127731323242,48.0,13.548699571233591,2.3596736654725854,11.189025905761007
38658,26858,77035660007,Samsara Coffee&food,ua,SMB (AM Segment),Samsara Coffee&food,Kyiv,Silver (AM Segment),1775.6581382751465,106.0,13.119228102849181,2.3596736654725854,10.759554437376597
158561,99768,50006488126,Sushi Story,ua,SMB (AM Segment),Sushi Story Святошинська,Kyiv,Missing AM Segment Trait,1771.5176239013672,78.0,5.4673535189557105,2.3596736654725854,3.107679853483125
179360,134153,50006673982,PERETYN LV Lviv,ua,SMB (AM Segment),Перетин / Peretyn,Lviv,Missing AM Segment Trait,1769.3440628051758,104.0,15.553599247454196,2.3596736654725854,13.19392558198161
51891,35729,8286481,KOI,ua,SMB (AM Segment),KOI,Vinnytsia,Bronze (AM Segment),1768.5950012207031,0.0,12.093590266380074,2.3596736654725854,9.733916600907488
117254,84205,50005384676,DONER MARKET SMK Poltava,ua,SMB (AM Segment),DÖNER МАРКЕТ Соборності,Poltava,Missing AM Segment Trait,1768.5646209716797,147.0,4.177493098939576,2.3596736654725854,1.8178194334669904
161773,43859,50006562721,КарнеМіт,ua,SMB (AM Segment),КарнеМіт / CarneMeat,Vinnytsia,Missing AM Segment Trait,1768.0653686523438,150.0,6.87403941226897,2.3596736654725854,4.5143657467963845
78124,52266,77070040007,Crepes & Cakes,ua,SMB (AM Segment),Млинці. Mon Ami Bakery,Kyiv,Missing AM Segment Trait,1767.8971405029297,97.0,15.618800055009064,2.3596736654725854,13.25912638953648
149701,111388,50006411717,KOCMOC VIN Vinnytsia,ua,SMB (AM Segment),КОСМОС,Vinnytsia,Missing AM Segment Trait,1759.6804504394531,90.0,5.128990238914345,2.3596736654725854,2.7693165734417597
104114,72921,50005397149,MARTI Kharkiv,ua,SMB (AM Segment),Marti,Kharkiv,Missing AM Segment Trait,1757.3882904052734,77.0,7.667472935460753,2.3596736654725854,5.307799269988168
154398,6308,50006443944,Гімалаї,ua,SMB (AM Segment),Гімалаї КФМ / Himalaya KFM,Kyiv,Missing AM Segment Trait,1757.3561897277832,69.0,15.282370264971192,2.3596736654725854,12.922696599498607
30219,21281,6767993,Вареники ТУТ,ua,SMB (AM Segment),Вареники ТУТ Кульпарківська,Lviv,Silver (AM Segment),1757.0755462646484,141.0,11.685415325555368,2.3596736654725854,9.325741660082784
65518,44183,7701488,БорщBurger Bar,ua,SMB (AM Segment),БорщBurger Bar,Kyiv,Bronze (AM Segment),1756.2553482055664,72.0,19.468988883081806,2.3596736654725854,17.109315217609222
118910,85627,50005881633,MESHKANTSI Dnipro,ua,SMB (AM Segment),Мешканці,Dnipro,Missing AM Segment Trait,1751.4367446899414,88.0,6.719277370587608,2.3596736654725854,4.359603705115022
168144,125716,100005050508,Forchino cafe,ua,SMB (AM Segment),Forchino cafe,Kyiv,Missing AM Segment Trait,1750.8137817382812,91.0,23.237341361872982,2.3596736654725854,20.877667696400398
