brand_name_x,provider_id,city_name,account_manager_name,segment,gmv_feb_2026_eur,had_sponsored_listing,parent_account_id,parent_account_name,brand_name_y,group_name
КОСМОС,149701,Vinnytsia,Stefaniia Oznobishyna,SMB (AM Segment),932.87,No,111388.0,KOCMOC VIN Vinnytsia,KOCMOC VIN,KOCMOC VIN
Scorini просп. Тракторобудівників,51356,Kharkiv,Marina Georgieva,SMB (AM Segment),931.64,No,35403.0,Scorini,SCORINI,SCORINI GROUP
BAO,9652,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),928.91,No,,,,
DONAR Полтавський шлях,82782,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),924.54,No,48058.0,DONAR,DONAR,DONAR GROUP
ГАЛИЦЬКИЙ КУХОЛЬ Чорновола,146586,Lviv,Mykyta Maliarchuk,SMB (AM Segment),921.1,No,81912.0,ГАЛИЦЬКИЙ КУХОЛЬ,HALYTSKYI KUKHOL,HALYTSKYI KUKHOL
Хліб і М'ясо,74033,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),918.29,No,49555.0,Хліб і М'ясо,HLIB I MYASO,HLIB I MYASO GROUP
MA - Ресторан української кухні,100860,Lviv,Mykyta Maliarchuk,SMB (AM Segment),916.9,No,70196.0,MA,RESTORAN UKRAINSKOI KUKHNI MA,RESTORAN UKRAINSKOI KUKHNI MA GROUP
Улюблений дядя,44748,Kyiv,Nataliia Klymas,SMB (AM Segment),916.47,No,31016.0,Улюблений дядя,ULUBLENYI DYADYA,ULUBLENYI DYADYA GROUP
Sushi Story Чорновола,184317,Lviv,Mykyta Maliarchuk,SMB (AM Segment),912.11,No,137271.0,SUSHI STORY Lviv,SUSHI STORY,SUSHI STORY GROUP
"Ірландський Паб-Пивоварня ""To-Dublin""",104768,Kyiv,Marina Georgieva,SMB (AM Segment),906.69,No,73473.0,"ТОВ ""Паб-Пивоварня""",IRLANDSKYI PABPYVOVARNIA TO DUBLIN,IRLANDSKYI PABPYVOVARNIA TO DUBLIN GROUP
Express Buffet Зубрівська,84534,Lviv,Mykyta Maliarchuk,SMB (AM Segment),903.18,No,56605.0,Express Buffet,EXPRESS BUFFET,EXPRESS BUFFET GROUP
Патрік ПАБ,36393,Lviv,Mykyta Maliarchuk,SMB (AM Segment),899.92,No,25535.0,Патрік ПАБ,PATRIK PAB,PATRIK PAB GROUP
Львівські Обіди,82730,Lviv,Mykyta Maliarchuk,SMB (AM Segment),897.03,No,55687.0,Львівські Обіди,LVIVSKI OBIDY,LVIVSKI MLYNCI GROUP
Ресторан «ГОСТІДЗЕ» Золотоустівська,145749,Kyiv,Nataliia Klymas,SMB (AM Segment),895.3,No,40887.0,Ресторан «ГОСТІДЗЕ»,RESTORAN GOSTIDZE,RESTORAN GOSTIDZE GROUP
ChinaTown Кірпи,122728,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),893.19,Yes,80065.0,CHINATOWN KYIV Kyiv,CHINATOWN KYIV,CHINATOWN GROUP
Республіка Саду,114666,Lviv,Mykyta Maliarchuk,SMB (AM Segment),893.18,No,82094.0,RESPUBLIKA SADU Lviv,RESPUBLIKA SADU,RESPUBLIKA SADU GROUP
Faine Bistro,72942,Kyiv,Marina Georgieva,SMB (AM Segment),883.62,No,48864.0,Faine Bistro,FAINE BISTRO,FAINE BISTRO GROUP
Рестобар Fresh,40617,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),883.38,No,28102.0,Рестобар Fresh,RESTOBAR FRESH,RESTOBAR FRESH GROUP
Смакотворці,119480,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),878.81,No,86098.0,Смакотворці ,SMAKOTVORTSI,SMAKOTVORTSI
Вареники ТУТ Кульпарківська,30219,Lviv,Mykyta Maliarchuk,SMB (AM Segment),871.42,No,21281.0,Вареники ТУТ,VARENYKY TUT,VARENYKY TUT GROUP
Бізу Бізу,118963,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),869.93,No,85653.0,Бізу Бізу,BIZU BIZU,BIZU BIZU GROUP
DÖNER МАРКЕТ пр-т Героїв Харкова,178838,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),867.33,No,133715.0,DONER MARKET Kharkiv,DONER MARKET,DONER MARKET KHARKIV
КоролIвська пiцца,110126,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),866.92,No,78143.0,KOROLIVSKA PITSTSA SALTIVSKE SHOSSE Kharkiv,KOROLIVSKA PITSTSA SALTIVSKE SHOSSE,KOROLIVSKA PITSTSA GROUP
NINO,98518,Kyiv,Marina Georgieva,SMB (AM Segment),856.78,No,66182.0,NINO,NINO,NINO GROUP
Home Coffee,85992,Kyiv,Marina Georgieva,SMB (AM Segment),856.38,No,58338.0,Home Coffee,HOME COFFEE,HOME COFFEE GROUP
REEF SUSHI Шота Руставелі,165910,Kyiv,Marina Georgieva,SMB (AM Segment),855.05,No,72503.0,Reef sushi,REEF SUSHI,REEF SUSHI GROUP
Shash&lavash,125137,Kharkiv,Marina Georgieva,SMB (AM Segment),851.36,No,90843.0,SHASH&LAVASH Kharkiv,SHASH&LAVASH,SHASH&LAVASH
Sakura sushi,145312,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),850.35,No,108110.0,SAKURA SUSHI LVIV Lviv,SAKURA SUSHI LVIV,HOKKAIDO SUSHI GROUP
DOGS&BURGERS,185129,Kharkiv,Marina Georgieva,SMB (AM Segment),849.75,No,137935.0,DOGS&BURGERS Kharkiv,DOGS&BURGERS,BILIY NALIV GROUP
"Украінське кафе ""Інші""",72373,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),848.48,No,48481.0,Бістро Інші,UKRAINSKE KAFE INSHI,UKRAINSKE KAFE INSHI GROUP
Par Bar Дніпровська набережна,77881,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),841.22,No,52104.0,Par Bar,PAR BAR,PAR BAR GROUP
Мʼясобулка,103590,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),840.68,No,72470.0,MYASOBULKA Kharkiv,MYASOBULKA,MYASOBULKA GROUP
La Frusta,13175,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),838.34,No,9561.0,La Frusta,LA FRUSTA,LA FRUSTA GROUP
Dos Amigos Саксаганського,8293,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),835.68,No,5995.0,Dos Amigos,DOS AMIGOS,DOS AMIGOS GROUP
SHASHLIKE,164713,Lviv,Mykyta Maliarchuk,SMB (AM Segment),829.45,No,49423.0,SHASHLIKE,SHASHLIKE,SHASHLIKE GROUP
