brand_name_x,provider_id,city_name,account_manager_name,segment,gmv_feb_2026_eur,had_sponsored_listing,parent_account_id,parent_account_name,brand_name_y,group_name
t.c.pizza,15710,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),2197.32,No,11402.0,t.c.pizza,TCPIZZA,TCPIZZA GROUP
Смакота,125913,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),2121.18,No,91570.0,Смакота,SMAKOTA,SMAKOTA GROUP
Сицилійський дворик,87671,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2111.91,No,59673.0,Сицилійський дворик,SYCYLIJSKYJ DVORYK,SYCYLIJSKYJ DVORYK GROUP
Red Monkey Замарстинівська,121490,Lviv,Vadym Bardysh,SMB (AM Segment),2101.77,No,22527.0,Red Monkey,REDMONKEY,REDMONKEY GROUP
DONER LAND (Кебаб),157229,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2073.23,Yes,117407.0,DONER LAND Lviv,DONER LAND,DONERLAND
Kimbap Hub,119329,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),2054.68,No,85960.0,Kimbap Hub,KIMBAP HUB,KIMBAP HUB
Umami Lab,110887,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2053.62,No,78807.0,UMAMI LAB Kyiv,UMAMI LAB,UMAMI LAB GROUP
Art sushi Драгоманова,68463,Kyiv,Marina Georgieva,SMB (AM Segment),2004.16,No,45970.0,Art Sushi,ART SUSHI,BUDUSUSHI KYIV GROUP
Rozmarin,62053,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2000.03,No,42076.0,Rozmarin,ROZMARIN,ROZMARIN GROUP
Bistro Dash / Бістро Даш,134483,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1981.78,No,98937.0,BISTRO DASH Kyiv,BISTRO DASH,BISTRO DASH GROUP
Burger Farm на бульварі Шевченко,10642,Kyiv,Marina Georgieva,SMB (AM Segment),1972.55,No,7642.0,Burger Farm,BURGER FARM,BURGER FARM GROUP
The Cake,7995,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1971.25,No,5727.0,The Cake,THE CAKE,THE BURGER GROUP
Sushi Time,44555,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1956.19,No,30880.0,Sushi Time,SUSHI TIME,SUSHI TIME GROUP
Norven вул. Максимовича,111190,Kyiv,Marina Georgieva,SMB (AM Segment),1955.98,No,79074.0,NORVEN MAKSYMOVYCHA Kyiv,NORVEN MAKSYMOVYCHA,NORVEN GROUP
Yalla вул. Амвросія Бучми,71186,Kyiv,Marta Vaskina,SMB (AM Segment),1935.54,No,47633.0,Yalla,YALLA,YALLA GROUP
Шаурма 88 Café-bistro,63025,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1915.82,No,42727.0,Шаурма 88 Café-bistro,SHAURMA 88 CAFEBISTRO,SHAURMA 88 CAFEBISTRO GROUP
Beef Burger,56802,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1906.81,No,38815.0,Beef Burger,BEEF BURGER,BEEF BURGER GROUP
"""Філін"" пров. Куренівський",152139,Kyiv,Marina Georgieva,SMB (AM Segment),1898.93,No,113286.0,FILIN Kyiv,FILIN,FILIN
Ресторан «ГОСТІДЗЕ» Малишка,75913,Kyiv,Nataliia Klymas,SMB (AM Segment),1890.5,No,40887.0,Ресторан «ГОСТІДЗЕ»,RESTORAN GOSTIDZE,RESTORAN GOSTIDZE GROUP
Бургерна 90-го рівня,20164,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1883.73,No,14652.0,Бургерна 90-го рівня,BURHERNA 90 LEVEL,CHEESE COMBO ONLY GROUP
MONPARK,114802,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1864.51,No,82197.0,MONPARK,MONPARK,MONPARK GROUP
Альпака кафе,83283,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1855.78,No,56074.0,Альпака кафе,ALPAKA KAFE,ALPAKA KAFE GROUP
ШашличОК,95792,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1851.08,No,66013.0,ШашличОК,SHASHLYCHOK,SHASHLYCHOK GROUP
Піта та Дамаск,150709,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1849.19,No,112160.0,Піта та Дамаск,PITA DAMASK,PITA DAMASK
Fat Daddy Burgers Княжий Затон,11839,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1840.91,No,5724.0,Fat Daddy Burgers,FAT DADDY BURGERS,FAT DADDY BURGERS GROUP
Ebi sushi,141092,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1800.9,No,104347.0,EBI SUSHI Kyiv,EBI SUSHI,EBI SUSHI
Галицький Кебаб,180613,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1794.96,No,135176.0,Галицький Кебаб,HALUCKUI KEBDB,HALUCKUI KEBDB
Little Mariupol,144463,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),1787.44,No,107486.0,LITTLE MARIUPOL LVI Lviv,LITTLE MARIUPOL LVI,LITTLE MARIUPOL
Українські Традиції,174411,Kharkiv,Marina Georgieva,SMB (AM Segment),1783.11,No,130137.0,UKRANIANTRADITSII Kharkiv,UKRANIANTRADITSII,UKRANIANTRADITSII
BAZA Street Food на Кульпарківській,165131,Lviv,Vadym Bardysh,SMB (AM Segment),1781.39,No,123358.0,BAZA STREET FOOD Lviv,BAZA STREET FOOD,BAZA STREET FOOD
Burger CLUB Академіка Павлова,75170,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1765.32,No,50286.0,Burger CLUB,BURGER CLUB,BURGER CLUB GROUP
Чеза,65892,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1764.11,No,44396.0,Чеза,CHEZA,CHEZA GROUP
Кебаб Супер,102731,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1754.32,No,71762.0,Кебаб Супер,KEBAB CHILIS,KEBAB CHILIS GROUP
Нова Провінція,190052,Vinnytsia,,SMB (AM Segment),1726.76,No,141653.0,NOVA PROVINTSIA Vinnytsia,NOVA PROVINTSIA,NOVA PROVINTSIA
Суші-бар Інь-Янь,92477,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1724.76,No,63409.0,Суші-бар Інь-Янь,SUSHIBAR INYAN,SUSHIBAR INYAN GROUP
Megobari вул. Максима Кривоноса,124725,Kyiv,Marina Georgieva,SMB (AM Segment),1724.6,No,89956.0,megobari,MEGOBARI,MEGOBARI GROUP
99 ЛАРІ,62286,Kyiv,Marina Georgieva,SMB (AM Segment),1708.08,No,42236.0,99 ЛАРІ,99 LARI,99 LARI GROUP
Лезгинка вінниця,101159,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1696.34,No,70445.0,LEZGINKA Vinnytsia,LEZHYNKA VINNYTSIA,LEZGINKA GROUP
Первак,20278,Kyiv,Marina Georgieva,SMB (AM Segment),1683.15,No,14723.0,Первак,PERVAK,PERVAK GROUP
Sushi Nami,90313,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1682.0,Yes,61762.0,Sushi Nami ,SUSHI NAMI,SUSHI NAMI GROUP
Aroma espresso bar Ділова,8666,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1678.91,No,6225.0,Арома Еспресо Бар,AROMA ESPRESSO BAR,AROMA ESPRESSO BAR GROUP
Фудмілс,123123,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1673.51,No,89149.0,Фудмілс,FUDMILS,FUDMILS
Burger CLUB Героїв Праці,75169,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1663.33,No,50286.0,Burger CLUB,BURGER CLUB,BURGER CLUB GROUP
Foodie Box,176907,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1663.29,Yes,132168.0,FUDIBOKS Kyiv,FUDIBOKS,FUDIBOKS
Пиріжкова,26702,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1652.54,No,18983.0,Пиріжкова,PYRIZHKOVA,PYRIZHKOVA GROUP
єМлинець,150166,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1642.43,No,111768.0,YEMLYNETS Kharkiv,YEMLYNETS,YEMLYNETS
Otaku Sushi,111935,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1634.03,No,79705.0,Otaku Sushi,OTAKU SUSHI,OTAKU SUSHI GROUP
Kitchen Polly пр. Голосіївський,47540,Kyiv,Nataliia Klymas,SMB (AM Segment),1626.0,No,32950.0,Kitchen Polly,KITCHEN POLLY,KITCHEN POLLY GROUP
CHIBA Bar&Kitchen,77454,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1619.26,No,51799.0,Chiba Sushi & More,CHIBA SUSHI MORE,CHIBA SUSHI MORE GROUP
KREMOVA,132731,Kyiv,Marina Georgieva,SMB (AM Segment),1615.21,No,97478.0,KREMOVA Kyiv,KREMOVA,KREMOVA GROUP
"Ресторан-мікс ""МОНТАНА""",73602,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1603.39,No,17472.0,"Ресторан-мікс ""МОНТАНА""",RESTORANMIKS MONTANA,RESTORANMIKS MONTANA GROUP
TastyTime вул. Л Сердюка,128066,Kharkiv,Marina Georgieva,SMB (AM Segment),1570.46,No,91052.0,TastyTime ,TASTYTIME,TASTYTIME GROUP
Асса,71195,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1569.74,No,47639.0,Асса,ASSA,ASSA GROUP
Доставка суші “РИС“,96213,Kharkiv,Marina Georgieva,SMB (AM Segment),1565.03,No,66346.0,Доставка суші “РИС“,DOSTAVKA SUSHI RYS,DOSTAVKA SUSHI RYS GROUP
STATION PIZZA просп. Петра Григоренка,144545,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1558.2,No,73383.0,STATION PIZZA,STATION PIZZA,STATION PIZZA GROUP
Укуси Рибу | Суші WOK Бургери,64082,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1557.03,No,43349.0,Укуси Рибу | Суші WOK Бургери,UKUSY RYBU SUSHI WOK BURGERY,SMACHNO PROJECT GROUP
Місіс Боул вул. Вадима Гетьмана,139987,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1537.15,No,103407.0,MISIS BOUL Kyiv,MISIS BOUL,115 KITCHEN&BAR GROUP
PastaChef,37004,Kyiv,Marina Georgieva,SMB (AM Segment),1535.74,Yes,25836.0,PastaChef,PASTACHEF,PASTACHEF GROUP
BARAKAT DONER,80201,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1532.77,No,53809.0,BARAKAT DONER,BARAKAT DONER,BARAKAT DONER GROUP
Kitchen Polly Січових Стрільців,47541,Kyiv,Nataliia Klymas,SMB (AM Segment),1508.13,No,32950.0,Kitchen Polly,KITCHEN POLLY,KITCHEN POLLY GROUP
SUGAR&SALT,121210,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1497.82,No,87587.0,SUGAR&SALT,SUGAR AND SALT,SUGAR AND SALT
Будьмо,120510,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1495.35,No,86997.0,Будьмо,BUDMO,BUDMO
Зашкварка,190755,Lviv,,SMB (AM Segment),1479.65,No,142221.0,ZASHKVARKAA Lviv,ZASHKVARKAA,SHUM
Live. Love. Avocado,117242,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1478.43,No,84203.0,LIVE. LOVE. AVOCADO Kharkiv,LIVE. LOVE. AVOCADO,LIVE.LOVE GROUP
Бістро Perfetto,36527,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1473.5,No,25606.0,Бістро Perfetto,BISTRO PERFETTO,BISTRO PERFETTO GROUP
Вино і М'ясо Наукова,65677,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1472.21,No,44279.0,Вино і М'ясо,VYNO I MYASO,VYNO I MYASO GROUP
Хінкальня Gogi Дніпровська набережна,11879,Kyiv,Nataliia Klymas,SMB (AM Segment),1457.76,No,6160.0,GOGI,KHINKALNYA GOGI,KHINKALNYA GOGI GROUP
Думки на смак,92431,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1457.04,No,63372.0,Думки на смак,DUMKY NA SMAK,DUMKY NA SMAK GROUP
Gogi Льва Толстого,13343,Kyiv,Nataliia Klymas,SMB (AM Segment),1444.25,No,6160.0,GOGI,KHINKALNYA GOGI,KHINKALNYA GOGI GROUP
Шашлик від СІМЕЙНА ШАУРМА,185560,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1429.12,No,46009.0,СІМЕЙНА ШАУРМА,SIMEYNA SHAURMA,SIMEYNA SHAURMA GROUP
Jord,69927,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1427.58,No,46851.0,Jord,JORD,JORD GROUP
Monkey Sushi,86741,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),1404.47,No,50225.0,Monkey Sushi,MONKEY SUSHI,MONKEY SUSHI GROUP
Sushi Nice Gatne,151223,Kyiv,Marina Georgieva,SMB (AM Segment),1404.08,No,112586.0,SUSHI NICE Kyiv,SUSHI NICE,SUSHI NICE
Радіо Тбілісі,57175,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1401.97,No,39085.0,Радіо Тбілісі,RADIO TBILISI,RADIO TBILISI GROUP
PAUL Ярославів Вал,10352,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1386.46,No,7439.0,Paul,PAUL,PAUL GROUP
Pyvna Duma Драгоманова,39074,Kyiv,Marina Georgieva,SMB (AM Segment),1384.76,No,27105.0,Pyvna Duma,PIVNA DUMA,PIVNA DUMA GROUP
STARGOOSE DONER Сім'ї Хохлових,65517,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1383.85,No,44182.0,STARGOOSE DONER,STARGOOSE DONER,STARGOOSE DONER GROUP
TIME Bar,120766,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1375.09,No,87220.0,TIME BAR Kyiv,TIME BAR,TIME BAR GROUP
Red Monkey Героїв УПА,144563,Lviv,Vadym Bardysh,SMB (AM Segment),1363.58,No,22527.0,Red Monkey,REDMONKEY,REDMONKEY GROUP
Lucky Beer,149899,Kyiv,Marina Georgieva,SMB (AM Segment),1350.64,No,111557.0,Lucky Beer ,LUCKY BEER,LUCKY BEER
Tasty Corpus,122992,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1350.43,No,89035.0,Tasy Corpus,TASTY CORPUS,TASTY CORPUS GROUP
PAKO,108230,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1345.46,No,76483.0,PAKO Vinnytsia,PAKO VIN,PAKO VIN
OG Burger Русанівська набережна,89670,Kyiv,Marta Vaskina,SMB (AM Segment),1345.19,No,28094.0,OG Burgers,OG BURGER,OG BURGER GROUP
УЛАВАШІ на ХТЗ,143992,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1336.22,No,70154.0,ULAVASHI Kharkiv,ULAVASHI DEAL,ULAVASHI DEAL GROUP
Софра Смак Криму Кловський узвіз,8796,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1333.82,No,6346.0,Sofra,SOFRA,SOFRA GROUP
Майоран,43444,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1332.42,No,30119.0,Майоран,MAJORAN,MAJORAN GROUP
Quasar Крипто Кебаб,119924,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1324.07,No,86498.0,Quasar Крипто Кебаб,QUASAR CRYPTO KEBAB,QUASAR CRYPTO KEBAB GROUP
Шаурма227,136402,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1323.56,No,100534.0,Шаурма227,SHAURMA227,SHAURMA227
Adriano Pizza,13125,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1318.32,No,9522.0,Adriano Pizza,ADRIANO PIZZA,ADRIANO PIZZA GROUP
Ash Mangal,35482,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1308.78,No,24866.0,Ash Mangal,ASH MANGAL,ASH MANGAL GROUP
Спільнота кафе,93192,Kyiv,Marina Georgieva,SMB (AM Segment),1308.66,No,63665.0,Спільнота кафе,SPILNOTA KAFE,SPILNOTA KAFE GROUP
PANCAKE MILL,20674,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1304.35,No,14961.0,Pancakes,PANCAKES,PANCAKES GROUP
Кафе та фермерська крамниця «Сніданішна»,96192,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1303.25,No,66332.0,Кафе та фермерська крамниця «Сніданішна»,KAFE TA FERMERSKA KRAMNYCYA SNIDANISHNA,KAFE TA FERMERSKA KRAMNYCYA SNIDANISHNA
Sushi Nice Retroville,151228,Kyiv,Marina Georgieva,SMB (AM Segment),1300.02,No,112586.0,SUSHI NICE Kyiv,SUSHI NICE,SUSHI NICE
Kometa,30663,Kyiv,Marina Georgieva,SMB (AM Segment),1286.87,No,21619.0,Kometa,KOMETA,KOMETA GROUP
Дом Піци,90031,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1286.48,No,61543.0,Дом Піци,DOM PICY,DOM PICY GROUP
Кумпель на Ринку,33112,Lviv,Stefaniia Oznobishyna,SMB (AM Segment),1286.12,No,23258.0,Craft Kumpel,KUMPEL,KUMPEL GROUP
Шаурма по грузинськи G1,133011,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1283.51,No,97743.0,Шаурма по грузинськи G1,SHAURMA G1,SHAURMA G1
Family Sushi Гатне,131424,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1278.9,No,96372.0,Family Sushi Hatne,FAMILY SUSHI KV,FAMILY SUSHI KV
VARYK,166441,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1278.72,No,124357.0,VARYK,VARYK,VARYK
ДУМКИ НА СМАК,120579,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1276.92,No,87064.0,DUMKY NA SMAK Kharkiv,DUMKY NA SMAK,DUMKY NA SMAK GROUP
Kolos,76711,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1276.79,No,51280.0,Kolos,KOLOS,KOLOS GROUP
Chili pizza Коцюбинського,76477,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1273.92,No,51174.0,Chili pizza,CHILI PIZZA,CHILI PIZZA GROUP
Cheese Pizza/Чіз Піца,171229,Kharkiv,Marina Georgieva,SMB (AM Segment),1261.13,No,127623.0,CHEESE PIZZA DELIVERY Kharkiv,CHEESE PIZZA DELIVERY,CHEESE PIZZA DELIVERY
Шашлична №1,116013,Kyiv,Marina Georgieva,SMB (AM Segment),1255.93,No,83165.0,Шашлична #1,SHASHLYCHNA #1,SHASHLYCHNA #1
buduБорщ cafe,56389,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1255.58,No,38566.0,buduБорщ cafe,BUDUBORSHCH CAFE,BUDUBORSHCH CAFE GROUP
Їстетика Предславинська,118904,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1241.91,No,85621.0,YISTETYKA PREDSLAVYNSKA Kyiv,YISTETYKA PREDSLAVYNSKA,YISTETYKA
Пивна ресторація KARABAS,190049,Vinnytsia,,SMB (AM Segment),1240.25,No,141650.0,KARABAS VYN Vinnytsia,KARABAS VYN,KARABAS VYN
Rise cafe,124090,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1234.79,No,89985.0,RISE CAFE Kyiv,RISE CAFE,RISE CAFE
Shaurma G1 Данила Щербакова,138859,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1231.14,No,102541.0,SHAURMA G1 Kyiv,SHAURMA G1,SHAURMA G1
Вареники і пельмені вул. Отакара Яроша,25246,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1218.81,No,17949.0,Кав'ярня кондитерська Crema,VARENYKY I PELMENI,VARENYKY I PELMENI GROUP
Свіжість Січових стрільців,18186,Kyiv,Marina Georgieva,SMB (AM Segment),1213.94,Yes,13180.0,Свіжість,SVIZIHST,GRANDFISH GROUP
GIANNIVINO,185536,Kyiv,Marina Georgieva,SMB (AM Segment),1201.28,No,138243.0,GIANNIVINO KYIV Kyiv,GIANNIVINO KYIV,GIANNIVINO GROUP
Піцерія Pizzazza / Піцаца,30147,Kyiv,Marina Georgieva,SMB (AM Segment),1200.19,No,21274.0,Піцерія PIZZAZZA,PICERIYA PIZZAZZA PICACA,PICERIYA PIZZAZZA PICACA GROUP
Золотий чебурек,96860,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1190.22,No,66866.0,ПОЛОВИНА СОНЦЯ,POLOVYNA SONTSYA,POLOVYNA SONTSYA GROUP
Ресторан Patio,23064,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1188.14,No,16510.0,Ресторан «Patio»,RESTORAN PATIO,RESTORAN PATIO GROUP
BurBurger Соборності,11938,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1187.46,No,8626.0,BurBurger,BURBURGER,BURBURGER GROUP
Fami.italy,95622,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1187.09,No,65861.0,Fami.italy,FAMIITALY,FAMI GROUP
Ресторація Влтава,47706,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1184.61,No,33048.0,Ресторація Влтава,RESTORACIYA VLTAVA,RESTORACIYA VLTAVA GROUP
Pizza 54 вул. С. Петлюри,103510,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1173.37,No,60731.0,Піца 54,PICA 54,PICA 54 GROUP
GTB - Grand Theft Bar,130762,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1172.67,No,95807.0,GTB Vinnytsia,GTB,GTB
Bonita burger Гетьманська,76187,Kyiv,Marina Georgieva,SMB (AM Segment),1166.04,No,50992.0,Bonita burger,BONITA BURGER,BONITA BURGER GROUP
Bao Casual,52763,Lviv,Marina Georgieva,SMB (AM Segment),1165.71,No,36275.0,Bao Casual,BAO CASUAL,BAO CASUAL GROUP
Beer Shop,185673,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1162.4,No,129173.0,Beer Shop,BEER SHOP VINNITSYA,BEER SHOP VINNITSYA
ШаурмуЇмо,145178,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1161.5,No,108021.0,SHAURMYIMO Kharkiv,SHAURMYIMO,SHAURMYIMO
Real American Burger,82280,Kyiv,Marina Georgieva,SMB (AM Segment),1153.4,No,55358.0,Real American Burger,REAL AMERICAN BURGER,REAL AMERICAN BURGER GROUP
Green 13 Велика Житомирська,9302,Kyiv,Marina Georgieva,SMB (AM Segment),1150.78,No,6675.0,Green 13,GREEN 13,GREEN 13 GROUP
Sky Food Валентинівська,119261,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1150.58,No,85903.0,SKYFOOD Kharkiv,SKYFOOD,SKYFOOD GROUP
Chili Pizza Келецька,76479,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1141.67,No,51174.0,Chili pizza,CHILI PIZZA,CHILI PIZZA GROUP
Food Garage Героїв УПА,80136,Lviv,Marina Georgieva,SMB (AM Segment),1133.99,No,53750.0,Food Garage,FOOD GARAGE,FOOD GARAGE GROUP
Javelin Food,130424,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),1126.25,No,95533.0,Javelin Food,JAVELIN FOOD,JAVELIN FOOD
Vasha Shava,184650,Kyiv,Marina Georgieva,SMB (AM Segment),1126.07,No,137533.0,Ваша Шава,VASHA SHAVA,VASHA SHAVA
Fami.burger,95335,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1124.88,No,65625.0,Fami.burger,FAMIBURGER,FAMI GROUP
mr.шавуха,95804,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1123.37,No,66016.0,mr.шавуха,MR SHAVUKHA,MR SHAVUKHA GROUP
TBILISURI Шаурма/TBILISURI Shaurma,143682,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1113.07,No,106726.0,Tbilisuri ,TBILISURI SHAURMA,TBILISURI SHAURMA
Рис та Локшина,116390,Kyiv,Marina Georgieva,SMB (AM Segment),1108.62,No,83496.0,Рис та Локшина,RYS TA LOKSHYNA,RYS TA LOKSHYNA
Mclaud pub,78788,Vinnytsia,Stefaniia Oznobishyna,SMB (AM Segment),1104.03,No,52743.0,Mclaud pub,MCLAUD PUB,MCLAUD PUB GROUP
ШЕФ-ПІЦА,56414,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1098.22,No,38587.0,ШЕФ-ПІЦА,SHEFPICA,SHEFPICA GROUP
Samsara Coffee&food,38658,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1093.4,No,26858.0,Samsara Coffee&food,SAMSARA COFFEEFOOD,SAMSARA COFFEEFOOD GROUP
One Love Sushi Varshavsky,144708,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1087.0,No,107675.0,ONELOVESUSHI KYIV Kyiv,ONELOVESUSHI KYIV,ONELOVESUSHI KYIV
Плов #1,125022,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1077.79,No,90742.0,PLOV #1 Kyiv,PLOV #1,PLOV #1
YOKAI,82794,Kharkiv,Marina Georgieva,SMB (AM Segment),1063.79,No,55727.0,YOKAI,YOKAI,YOKAI GROUP
Forchino cafe,168144,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1063.59,No,125716.0,Forchino cafe,FORCHINO CAFE,FORCHINO CAFE
Львівські млинці,32430,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1062.24,No,22788.0,Львівські млинці,LVIVSKI MLYNCI,LVIVSKI MLYNCI GROUP
УЛАВАШІ,100809,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),1060.52,No,70154.0,ULAVASHI Kharkiv,ULAVASHI DEAL,ULAVASHI DEAL GROUP
Велика Трійка,113559,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1054.35,No,81116.0,VELYKA TRIYKA Lviv,VELYKA TRIYKA,VELYKA TRIYKA GROUP
Паста По-Київськи,65736,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1053.74,No,44311.0,Паста по-київськи,PASTA POKYIVSKY,PASTA POKYIVSKY GROUP
КарнеМіт / CarneMeat,161773,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1044.04,No,43859.0,КарнеМіт,KARNEMIT,KARNEMIT GROUP
O’zero,86086,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),1042.6,No,58404.0,O’zero,O ZERO,O ZERO GROUP
Тбілісі,66903,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),1040.11,No,44982.0,Тбілісі,TBILISI,TBILISI GROUP
Mis Li пл. Калічанська,106424,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),1035.78,No,34856.0,Mis Li,MIS LI,MIS LI ROLL TO GO GROUP
ГАЛИЦЬКИЙ КУХОЛЬ В.Великого,114474,Lviv,Mykyta Maliarchuk,SMB (AM Segment),1035.05,No,81912.0,ГАЛИЦЬКИЙ КУХОЛЬ,HALYTSKYI KUKHOL,HALYTSKYI KUKHOL
